,retailerProductCode,manufacturerTitle,idRetailerSKU,manufacturerPrice,retailerPrice,retailerFromPrice,seller_marketplace_df,variation,available,num_false
195608,117966061,Geladeira Brastemp Frost Free 540L Cor Inox com Ice Maker Side Inverse BRO80AK 220V,498697,,,,Americanas,,False,841.0
202857,119934652,Frigobar Consul 80 litros com Gaveta Multiuso - CRC08CB 110V,498703,,,,Americanas,,False,841.0
204101,133256632,FOGÃO BRASTEMP 5 BOCAS DUPLO FORNO COR INOX COM BOTÕES REMOVÍVEIS E EXCLUSIVO ARO PROTETOR 220V,498865,,,,Americanas,,False,841.0
208534,592808328,Micro-ondas Brastemp 20 Litros cor Inox Espelhado com Funções Pré-preparo 110V,591833,,,,Americanas,,False,841.0
280209,133605821,Geladeira Brastemp Frost Free Duplex 375L Cor Branca com Espaço Adapt Painel Eletrônico BRM45HB 220V,498825,,,,Americanas,,False,841.0
277849,126430698,Máquina de Lavar Consul 16Kg com Ciclo Edredom Dispenser Limpa Fácil Dosagem Fácil CWL16AB 220V,498736,,,,Americanas,,False,784.0
207888,118419413,Micro-ondas Brastemp 38 Litros cor inox espelhado com Grill - BMJ38AR 220V,498696,,,,Americanas,,False,784.0
210077,270441,Calculadora de Mesa MV4121 com Visor 12 Digítos Elgin,1215159,,,,Americanas,,False,784.0
282647,132717193,Geladeira Brastemp Frost Free Duplex 400L Cor Inox com Painel Eltrônico Freeze Control BRM54HK 110V,498828,,,,Americanas,,False,784.0
212312,2117242206,Geladeira Brastemp Inverse 3 Frost Free 419 litros cor Preta com Freeze Control Pro 110V,591609,,,,Americanas,,False,729.0
