manufacturerTitle,,manufacturerTitle,idRetailerSKU,variation,price_diff
Refletor Projetor Led 50W Inteligente Elgin Wi-Fi Color RGBW Compatível com Alexa,173541,Refletor Projetor Led 50W Inteligente Elgin Wi-Fi Color RGBW Compatível com Alexa,1880188,60.65,200.09000000000003
Luminária Projetor LED Inteligente 50W RGB +3000-6500K Wi-Fi Bivolt Elgin,173864,Luminária Projetor LED Inteligente 50W RGB +3000-6500K Wi-Fi Bivolt Elgin,1880188,60.65,95.09000000000003
Refletor Projetor Led 20W Inteligente Elgin Wi-Fi Color RGB Compatível com Alexa,127613,Refletor Projetor Led 20W Inteligente Elgin Wi-Fi Color RGB Compatível com Alexa,1880185,60.06,150.09
Luminária Projetor LED Inteligente 20W RGB +3000-6500K Wi-Fi Bivolt Elgin,127986,Luminária Projetor LED Inteligente 20W RGB +3000-6500K Wi-Fi Bivolt Elgin,1880185,60.06,70.09
"Interruptor Inteligente Wi-Fi 1 Botão Touch Compatível com Alexa e Google Home, Branco Elgin",174723,"Interruptor Inteligente Wi-Fi 1 Botão Touch Compatível com Alexa e Google Home, Branco Elgin",1880187,49.03,35.54000000000002
Interruptor Inteligente  Wi-Fi Touch  1 Botão Compatível com Alexa Elgin,174410,Interruptor Inteligente  Wi-Fi Touch  1 Botão Compatível com Alexa Elgin,1880187,49.03,21.24000000000001
Geladeira Brastemp Inverse 3 Frost Free 419 litros cor Inox com Freeze Control Pro 220V,116948,Geladeira Brastemp Inverse 3 Frost Free 419 litros cor Inox com Freeze Control Pro 220V,591658,34.15,1911.9899999999998
Máquina De Costura Elgin Bl1009 Pop 9 Pontos Bivolt,90036,Máquina De Costura Elgin Bl1009 Pop 9 Pontos Bivolt,861797,31.64,118.59000000000003
Pilha Recarregável Elgin AA-2500 mAh Cartela com 4 unds,126036,Pilha Recarregável Elgin AA-2500 mAh Cartela com 4 unds,876162,31.61,15.609999999999992
FOGÃO BRASTEMP 6 BOCAS BRANCO COM BOTÕES REMOVÍVEIS E EXCLUSIVO ARO PROTETOR Bivolt,257894,FOGÃO BRASTEMP 6 BOCAS BRANCO COM BOTÕES REMOVÍVEIS E EXCLUSIVO ARO PROTETOR Bivolt,498877,26.63,
